#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"13621668961";"01/08/2025 / 11:00:23";"WDOU25";"C";"4";"5.573,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621668707";"01/08/2025 / 11:00:13";"WDOU25";"C";"2";"5.578,00";"executada";"entrada";"2";"5.578,00";"-";"-";"-"
"13621667788";"01/08/2025 / 10:58:45";"WDOU25";"C";"1";"5.583,00";"executada";"entrada";"1";"5.583,00";"-";"-";"-"
"13621667775";"01/08/2025 / 10:58:45";"WDOU25";"V";"4";"5.587,50";"executada";"saída";"4";"5.587,50";"5,75";"0,10";"230,00"
"13621667716";"01/08/2025 / 10:58:44";"WDOU25";"C";"1";"0,00";"executada";"entrada";"1";"5.588,00";"-";"-";"-"
"13621648224";"01/08/2025 / 10:18:47";"WDOU25";"V";"8";"0,00";"executada";"saída";"8";"5.589,50";"-54,88";"-0,97";"-4.390,00"
"13621609681";"01/08/2025 / 09:31:14";"WDOU25";"C";"4";"5.640,00";"executada";"entrada";"4";"5.640,00";"-";"-";"-"
"13621608987";"01/08/2025 / 09:30:55";"WDOU25";"C";"2";"5.645,00";"executada";"entrada";"2";"5.645,00";"-";"-";"-"
"13621607753";"01/08/2025 / 09:30:14";"WDOU25";"C";"1";"5.650,00";"executada";"entrada";"1";"5.650,00";"-";"-";"-"
"13621607743";"01/08/2025 / 09:30:14";"WDOU25";"V";"8";"5.650,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621607265";"01/08/2025 / 09:30:10";"WDOU25";"C";"1";"0,00";"executada";"entrada";"1";"5.655,00";"-";"-";"-"
"13621597435";"01/08/2025 / 09:08:07";"WDOU25";"V";"2";"5.672,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621589750";"01/08/2025 / 09:00:56";"WDOU25";"V";"1";"5.667,00";"executada";"entrada";"1";"5.667,00";"-";"-";"-"
"13621589719";"01/08/2025 / 09:00:56";"WDOU25";"C";"2";"5.658,50";"executada";"saída";"2";"5.658,50";"6,00";"0,11";"120,00"
"13621589436";"01/08/2025 / 09:00:54";"WDOU25";"V";"1";"0,00";"executada";"entrada";"1";"5.662,00";"-";"-";"-"
"13621539596";"31/07/2025 / 12:57:33";"WDOU25";"V";"2";"0,00";"executada";"saída";"2";"5.628,00";"-3,50";"-0,06";"-70,00"
"13621531089";"31/07/2025 / 12:21:10";"WDOU25";"C";"2";"5.624,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621525982";"31/07/2025 / 12:04:16";"WDOU25";"C";"1";"5.629,00";"executada";"entrada";"1";"5.629,00";"-";"-";"-"
"13621525972";"31/07/2025 / 12:04:16";"WDOU25";"V";"2";"5.637,50";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621525933";"31/07/2025 / 12:04:15";"WDOU25";"C";"1";"0,00";"executada";"entrada";"1";"5.634,00";"-";"-";"-"
"13621521480";"31/07/2025 / 11:46:03";"WDOU25";"V";"2";"5.648,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621520905";"31/07/2025 / 11:45:47";"WDOU25";"V";"1";"5.643,00";"executada";"entrada";"1";"5.643,00";"-";"-";"-"
"13621520884";"31/07/2025 / 11:45:47";"WDOU25";"C";"2";"5.634,50";"executada";"saída";"2";"5.634,50";"6,00";"0,11";"120,00"
"13621520881";"31/07/2025 / 11:45:46";"WDOU25";"V";"1";"0,00";"executada";"entrada";"1";"5.638,00";"-";"-";"-"
"13621520837";"31/07/2025 / 11:45:46";"WDOU25";"V";"8";"0,00";"executada";"saída";"8";"5.638,00";"-2,88";"-0,05";"-230,00"
"13621510161";"31/07/2025 / 11:16:49";"WDOU25";"C";"4";"5.636,50";"executada";"entrada";"4";"5.636,50";"-";"-";"-"
"13621509145";"31/07/2025 / 11:14:57";"WDOU25";"C";"2";"5.641,50";"executada";"entrada";"2";"5.641,50";"-";"-";"-"
"13621507800";"31/07/2025 / 11:12:48";"WDOU25";"C";"1";"5.646,50";"executada";"entrada";"1";"5.646,50";"-";"-";"-"
"13621507775";"31/07/2025 / 11:12:48";"WDOU25";"V";"8";"5.646,50";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621507755";"31/07/2025 / 11:12:47";"WDOU25";"C";"1";"0,00";"executada";"entrada";"1";"5.651,50";"-";"-";"-"
"13621502438";"31/07/2025 / 10:53:20";"WDOU25";"V";"1";"5.668,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621502426";"31/07/2025 / 10:53:20";"WDOU25";"C";"1";"5.657,50";"executada";"saída";"1";"5.657,50";"6,00";"0,11";"60,00"
"13621502387";"31/07/2025 / 10:53:19";"WDOU25";"V";"1";"0,00";"executada";"entrada";"1";"5.663,50";"-";"-";"-"
"13621492463";"31/07/2025 / 10:34:46";"WDOU25";"C";"2";"5.647,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621491879";"31/07/2025 / 10:33:59";"WDOU25";"C";"1";"5.652,00";"executada";"entrada";"1";"5.652,00";"-";"-";"-"
"13621491872";"31/07/2025 / 10:33:59";"WDOU25";"V";"2";"5.660,50";"executada";"saída";"2";"5.660,50";"6,00";"0,11";"120,00"
"13621491805";"31/07/2025 / 10:33:58";"WDOU25";"C";"1";"0,00";"executada";"entrada";"1";"5.657,00";"-";"-";"-"
"13621491520";"31/07/2025 / 10:33:23";"WDOU25";"C";"8";"0,00";"executada";"saída";"8";"5.658,00";"-0,88";"-0,02";"-70,00"
"13621479958";"31/07/2025 / 10:06:35";"WDOU25";"V";"4";"5.661,50";"executada";"entrada";"4";"5.661,50";"-";"-";"-"
"13621477824";"31/07/2025 / 10:04:14";"WDOU25";"V";"2";"5.656,50";"executada";"entrada";"2";"5.656,50";"-";"-";"-"
"13621477516";"31/07/2025 / 10:04:10";"WDOU25";"V";"1";"5.651,50";"executada";"entrada";"1";"5.651,50";"-";"-";"-"
"13621477509";"31/07/2025 / 10:04:10";"WDOU25";"C";"8";"5.651,50";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621477439";"31/07/2025 / 10:04:09";"WDOU25";"V";"1";"0,00";"executada";"entrada";"1";"5.646,50";"-";"-";"-"
"13621468447";"31/07/2025 / 09:37:34";"WDOU25";"V";"1";"5.647,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621468431";"31/07/2025 / 09:37:34";"WDOU25";"C";"1";"5.636,00";"executada";"saída";"1";"5.636,00";"6,00";"0,11";"60,00"
"13621468362";"31/07/2025 / 09:37:33";"WDOU25";"V";"1";"0,00";"executada";"entrada";"1";"5.642,00";"-";"-";"-"
"13621449441";"31/07/2025 / 09:00:55";"WDOU25";"C";"1";"5.605,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621449411";"31/07/2025 / 09:00:54";"WDOU25";"V";"1";"5.616,50";"executada";"saída";"1";"5.616,50";"6,00";"0,11";"60,00"
"13621449345";"31/07/2025 / 09:00:54";"WDOU25";"C";"1";"0,00";"executada";"entrada";"1";"5.610,50";"-";"-";"-"
"13621383360";"30/07/2025 / 13:43:27";"WDOQ25";"C";"8";"0,00";"executada";"saída";"8";"5.619,50";"-0,88";"-0,02";"-70,00"
"13621374269";"30/07/2025 / 12:54:22";"WDOQ25";"V";"4";"5.623,00";"executada";"entrada";"4";"5.623,00";"-";"-";"-"
"13621369290";"30/07/2025 / 12:10:02";"WDOQ25";"V";"2";"5.618,00";"executada";"entrada";"2";"5.618,00";"-";"-";"-"
"13621368736";"30/07/2025 / 12:06:16";"WDOQ25";"V";"1";"5.613,00";"executada";"entrada";"1";"5.613,00";"-";"-";"-"
"13621368726";"30/07/2025 / 12:06:16";"WDOQ25";"C";"8";"5.613,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621368687";"30/07/2025 / 12:06:15";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.608,00";"-";"-";"-"
"13621368636";"30/07/2025 / 12:06:14";"WDOQ25";"V";"1";"0,00";"executada";"saída";"1";"5.608,50";"2,50";"0,04";"25,00"
"13621365925";"30/07/2025 / 11:47:25";"WDOQ25";"C";"1";"5.601,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621365921";"30/07/2025 / 11:47:25";"WDOQ25";"V";"1";"5.612,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621365890";"30/07/2025 / 11:47:25";"WDOQ25";"C";"1";"0,00";"executada";"entrada";"1";"5.606,00";"-";"-";"-"
"13621365841";"30/07/2025 / 11:47:24";"WDOQ25";"C";"4";"0,00";"executada";"saída";"4";"5.606,25";"4,00";"0,07";"160,00"
"13621361293";"30/07/2025 / 11:24:33";"WDOQ25";"V";"4";"5.619,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621359753";"30/07/2025 / 11:22:18";"WDOQ25";"V";"2";"5.614,00";"executada";"entrada";"2";"5.614,00";"-";"-";"-"
"13621358693";"30/07/2025 / 11:19:18";"WDOQ25";"V";"1";"5.609,00";"executada";"entrada";"1";"5.609,00";"-";"-";"-"
"13621358683";"30/07/2025 / 11:19:17";"WDOQ25";"C";"4";"5.604,50";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621358601";"30/07/2025 / 11:19:16";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.604,00";"-";"-";"-"
"13621346896";"30/07/2025 / 10:34:48";"WDOQ25";"C";"1";"5.589,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621346879";"30/07/2025 / 10:34:48";"WDOQ25";"V";"1";"5.600,00";"executada";"saída";"1";"5.600,00";"6,00";"0,11";"60,00"
"13621346771";"30/07/2025 / 10:34:46";"WDOQ25";"C";"1";"0,00";"executada";"entrada";"1";"5.594,00";"-";"-";"-"
"13621346720";"30/07/2025 / 10:34:46";"WDOQ25";"C";"4";"0,00";"executada";"saída";"4";"5.594,63";"0,63";"0,01";"25,00"
"13621341826";"30/07/2025 / 10:25:22";"WDOQ25";"V";"4";"5.604,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621334622";"30/07/2025 / 10:04:45";"WDOQ25";"V";"2";"5.599,00";"executada";"entrada";"2";"5.599,00";"-";"-";"-"
"13621333516";"30/07/2025 / 10:02:01";"WDOQ25";"V";"1";"5.594,00";"executada";"entrada";"1";"5.594,00";"-";"-";"-"
"13621333504";"30/07/2025 / 10:02:01";"WDOQ25";"C";"4";"5.589,50";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621333403";"30/07/2025 / 10:02:00";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.589,00";"-";"-";"-"
"13621330816";"30/07/2025 / 09:51:15";"WDOQ25";"C";"1";"5.579,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621330797";"30/07/2025 / 09:51:15";"WDOQ25";"V";"1";"5.590,00";"executada";"saída";"1";"5.590,00";"6,00";"0,11";"60,00"
"13621330717";"30/07/2025 / 09:51:14";"WDOQ25";"C";"1";"0,00";"executada";"entrada";"1";"5.584,00";"-";"-";"-"
"13621325532";"30/07/2025 / 09:34:30";"WDOQ25";"V";"1";"5.598,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621325520";"30/07/2025 / 09:34:30";"WDOQ25";"C";"1";"5.587,50";"executada";"saída";"1";"5.587,50";"6,00";"0,11";"60,00"
"13621325292";"30/07/2025 / 09:34:28";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.593,50";"-";"-";"-"
"13621315532";"30/07/2025 / 09:10:42";"WDOQ25";"V";"1";"5.596,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621315519";"30/07/2025 / 09:10:42";"WDOQ25";"C";"1";"5.585,50";"executada";"saída";"1";"5.585,50";"6,00";"0,11";"60,00"
"13621315454";"30/07/2025 / 09:10:42";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.591,50";"-";"-";"-"
"13621237174";"29/07/2025 / 10:06:05";"WDOQ25";"C";"4";"5.580,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621235457";"29/07/2025 / 10:02:39";"WDOQ25";"C";"2";"5.585,50";"executada";"entrada";"2";"5.585,50";"-";"-";"-"
"13621233566";"29/07/2025 / 09:57:08";"WDOQ25";"C";"1";"5.590,50";"executada";"entrada";"1";"5.590,50";"-";"-";"-"
"13621233556";"29/07/2025 / 09:57:08";"WDOQ25";"V";"4";"5.595,00";"executada";"saída";"4";"5.595,00";"5,75";"0,10";"230,00"
"13621233517";"29/07/2025 / 09:57:07";"WDOQ25";"C";"1";"0,00";"executada";"entrada";"1";"5.595,50";"-";"-";"-"
"13621228731";"29/07/2025 / 09:34:40";"WDOQ25";"C";"1";"5.587,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621228723";"29/07/2025 / 09:34:40";"WDOQ25";"V";"1";"5.598,00";"executada";"saída";"1";"5.598,00";"6,00";"0,11";"60,00"
"13621228639";"29/07/2025 / 09:34:39";"WDOQ25";"C";"1";"0,00";"executada";"entrada";"1";"5.592,00";"-";"-";"-"
"13621213231";"29/07/2025 / 09:01:00";"WDOQ25";"V";"1";"5.607,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621213188";"29/07/2025 / 09:00:59";"WDOQ25";"C";"1";"5.596,50";"executada";"saída";"1";"5.596,50";"6,00";"0,11";"60,00"
"13621213021";"29/07/2025 / 09:00:58";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.602,50";"-";"-";"-"
"13621182674";"28/07/2025 / 12:23:47";"WDOQ25";"V";"1";"5.602,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621182661";"28/07/2025 / 12:23:47";"WDOQ25";"C";"1";"5.591,50";"executada";"saída";"1";"5.591,50";"6,00";"0,11";"60,00"
"13621182609";"28/07/2025 / 12:23:46";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.597,50";"-";"-";"-"
"13621175444";"28/07/2025 / 11:28:50";"WDOQ25";"C";"2";"5.582,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621174570";"28/07/2025 / 11:27:49";"WDOQ25";"C";"1";"5.587,50";"executada";"entrada";"1";"5.587,50";"-";"-";"-"
"13621174566";"28/07/2025 / 11:27:49";"WDOQ25";"V";"2";"5.596,00";"executada";"saída";"2";"5.596,00";"6,00";"0,11";"120,00"
"13621174536";"28/07/2025 / 11:27:49";"WDOQ25";"C";"1";"0,00";"executada";"entrada";"1";"5.592,50";"-";"-";"-"
"13621174476";"28/07/2025 / 11:27:46";"WDOQ25";"C";"8";"0,00";"executada";"saída";"8";"5.593,50";"-1,88";"-0,03";"-150,00"
"13621156137";"28/07/2025 / 10:25:15";"WDOQ25";"V";"4";"5.596,00";"executada";"entrada";"4";"5.596,00";"-";"-";"-"
"13621155040";"28/07/2025 / 10:22:56";"WDOQ25";"V";"2";"5.591,00";"executada";"entrada";"2";"5.591,00";"-";"-";"-"
"13621151332";"28/07/2025 / 10:07:36";"WDOQ25";"V";"1";"5.586,00";"executada";"entrada";"1";"5.586,00";"-";"-";"-"
"13621151326";"28/07/2025 / 10:07:35";"WDOQ25";"C";"8";"5.586,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621151293";"28/07/2025 / 10:07:35";"WDOQ25";"V";"1";"0,00";"executada";"entrada";"1";"5.581,00";"-";"-";"-"
"13621151213";"28/07/2025 / 10:07:34";"WDOQ25";"V";"4";"0,00";"executada";"saída";"4";"5.581,13";"-0,13";"-0,00";"-5,00"
"13621148879";"28/07/2025 / 09:56:17";"WDOQ25";"C";"4";"5.572,50";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13621146630";"28/07/2025 / 09:46:57";"WDOQ25";"C";"2";"5.577,50";"executada";"entrada";"2";"5.577,50";"-";"-";"-"
"13621143565";"28/07/2025 / 09:35:27";"WDOQ25";"C";"1";"5.582,50";"executada";"entrada";"1";"5.582,50";"-";"-";"-"
"13621143547";"28/07/2025 / 09:35:26";"WDOQ25";"V";"4";"5.587,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13621143510";"28/07/2025 / 09:35:26";"WDOQ25";"C";"1";"0,00";"executada";"entrada";"1";"5.587,50";"-";"-";"-"
